arg-id,comment-id,argument,source,sentiment,genre
A24_0,24,「等の事実から」という表現は「このような措置が講じられていることと合わせてその他の事実から」または「その他の事実から」に修正すべき。,organization,neutral,current_status
A24_1,24,p.23の脚注24について、特定の権利者が技術的措置を講じた場合、当該ウェブサイトの全データがブロックされる可能性があり、法第30条の4に基づく利用ができない場合があることを示唆している。これはAI開発者の学習を萎縮させるため適切でない。,organization,negative,issues
A24_2,24,一部のAI学習用クローラがブロックされている場合、それは将来販売されるデータベースの著作物を使用させる意思がないと理解されるべきである。,organization,neutral,current_status
A24_3,24,p.23の1つ目の〇について、法第30条の4但書が適用される旨の記載は不明確であり、データが「多数」であれば複製がすべて許諾が必要と読まれる可能性があるため、表現を明確化すべき。,organization,negative,issues
A24_4,24,データベースの著作物とその構成要素である個々のデータの著作物が明確に区別されておらず、仮定的な事例が設定されているため、現状のサービスを前提とすると要件を充足しない可能性が高い。,organization,negative,current_status
A26_0,26,生成AIの学習から生成に至るプロセスを全体的に評価し、創作的表現が（そのまま）利用されていないと法的に評価できる場合には、技術的な措置が講じられていることを考慮すべきである。,organization,neutral,issues
A26_1,26,生成AIの学習段階で既存の著作物を学習に用いていなかった場合、依拠性が認められる可能性を低減させると考えられるが、「用いる」という用語の意味が不明確であるため、誤解を避けるために記載を修正すべきである。,organization,neutral,issues
A26_2,26,AI生成物はプロンプトにより大きく左右されるため、AI利用者が一次的な責任主体であることについて言及すべきである。現状の記載はAI事業者の責任に偏っている。,organization,negative,issues
A26_3,26,AI事業者には多様な関係性があり、一律に事業者が侵害主体となるとの見解は過度なリスク意識を生む可能性があるため、慎重な表現が求められる。,organization,negative,issues
A26_4,26,侵害行為の責任主体に関する考慮要素が具体的に記載されている一方で、規範に関する記載が少ないため、事業者が常に責任主体とされる印象を与えないようにする必要がある。,organization,neutral,issues
A26_5,26,責任主体を認定する要素には、利用者や事業者の関与の程度を考慮すべきである。,organization,neutral,issues
A27_0,27,責任主体の認定に当たって必要な考慮要素を網羅的に示すべきである。,organization,neutral,issues
A27_1,27,事業者が生成AIの開発・提供において、著作物の類似物生成の蓋然性を認識している場合、技術的手段を施さないと侵害主体と評価される可能性が高まるが、類似物の生成が必ずしも著作権侵害とは限らないため、技術的手段の必要性には議論の余地がある。,organization,neutral,issues
A27_2,27,事業者が生成AIの類似物生成の蓋然性を認識しても、その評価基準は不透明であり、技術的手段の内容や程度も不明確であるため、過剰な対応を求めることはイノベーションに対する負荷となる。,organization,negative,issues
A27_3,27,過度な技術的手段の要求は参入障壁となり、市場競争を阻害する可能性があるため、事業者は自らの判断で対応すべきである。,organization,negative,issues
A27_4,27,生成AIのモデル開発段階において、特定のアウトプットを念頭に置く技術的手段の必要性は慎重に検討されるべきであり、AI利用者が個人であれば著作権の権利制限規定が適用される場合もある。,organization,neutral,strategy
A27_5,27,AI事業者の責任を過度に拡張しないよう、AI生成物に関する侵害の検討には慎重な議論が求められる。,organization,neutral,strategy
A27_6,27,事業者が著作権侵害の行為主体とならない場合でも、AI利用者による著作権侵害の幇助者として責任を負う可能性があることに留意すべきである。,organization,neutral,issues
A29_0,29,文化審議会著作権分科会における生成AIと著作権に関する議論に感謝し、アニメ業界の課題解決を目指す団体として意見を述べる。,organization,positive,vision
A29_1,29,2023年6月のアニメ業界対象のAIに関する意識調査では、実在の人物の外観や声の改変には規制が必要との意見が81.1%を占め、AI活用に対する関心と規制の必要性が示された。,organization,neutral,current_status
A29_2,29,生成AI技術の使い方によってその是非が変わるため、多くの意見を取り入れた納得感のある結論が求められる。,organization,neutral,strategy
A29_3,29,著作権法第30条の4における非享受目的の利用が認められても、享受目的の利用から著作者の利益が害されないことが正当化される背景として理解される。,organization,neutral,issues
A29_4,29,機械学習に用いられた作品は、享受目的の利用から対価回収が続くが、実際には生成AIが生み出した生成物が利用されるため、著作権の問題が生じる可能性がある。,organization,negative,issues
A32_0,32,声の模倣技術を放置すると詐欺被害など社会に甚大な影響が出る可能性があるため、生成AIに対する懸念を表明するクリエイターの声を制度に反映させる必要がある。,organization,negative,issues
A32_1,32,生成AI技術は加速度的に進化しており、平成30年改正の趣旨に拘泥せず、現状に即した権利制限規定を考える時期に来ている。,organization,neutral,current_status
A32_2,32,著作物は著作者の思想や感情を表現したものであり、享受目的での利用が本来的なものであるため、非享受目的の厳格な適用について再考が必要である。,organization,neutral,issues
A33_0,33,AI生成物の生成・利用において、学習行為はその出発点であり、享受目的が併存する場合が多い。著作物は本来的に享受目的で利用されるべきであり、非享受目的と評価される場合は限定的であるべき。,organization,neutral,issues
A33_1,33,著作権者の利益を不当に害する場合について、声の保護に関する言及が本素案に欠けていることは遺憾であり、声の類似に関してはパブリシティ権の侵害の可能性を記載すべき。また、実演家の権利にも焦点を当てる必要がある。,organization,negative,issues
A33_2,33,著作権者が反対の意思を示している場合、その意思を尊重すべきであり、著作権法は公正な利用を促し文化の発展に寄与することを目的としている。クリエイターの作品は大切なものであり、他人に無断で利用されるべきではない。,organization,positive,strategy
A35_0,35,学習済みモデルは著作権侵害の可能性があり、著作権者が権利を主張できるようにするべきである。,organization,negative,issues
A35_1,35,著作権者への対価還元が必要であり、生成AIの事業モデルは著作権侵害に基づいていると考える。,organization,negative,issues
A35_2,35,著作権を制限することは個人の権利を侵害する可能性があり、特に生成AIはビジネス目的で使用されているため、著作権法の再考が求められる。,organization,negative,issues
A35_3,35,未来の文化やクリエイションを守るために、著作権法の目的を再確認し、クリエイターの権利を保護する必要がある。,organization,positive,vision
A37_0,37,著作権における「作風」と「創作的表現」の境界線は判断が難しく、模倣に関する争いを避けるための整理と方策が必要である。,organization,neutral,issues
A37_1,37,AI利用者が著作物の学習状況を把握することは困難であり、依拠性に基づく著作権侵害のリスクを負うことに懸念がある。,organization,negative,issues
A37_2,37,生成AIの利用において、著作権侵害を回避するためには、AI利用者が世界中の著作物を把握し類似性を評価する必要があり、過度な負担を強いる可能性がある。,organization,negative,issues
A37_3,37,技術的措置によって依拠性を否定する可能性があるが、AI利用者がその詳細を立証することは困難であり、AIサービス提供事業者の協力が必要であるが、その協力が得られるかは疑問である。,organization,negative,issues
A38_0,38,AI開発事業者やサービス提供者は、海賊版を学習データとして使用することを容認できない,organization,positive,strategy
A38_1,38,海賊版を掲載しているウェブサイトからのデータ収集は、権利者の意向を無視する行為である,organization,negative,issues
A38_2,38,海賊版を知りながら学習データとして使用することは許されるべきではない,organization,negative,issues
A38_3,38,AI開発事業者は権利者団体と協議を行い、海賊版防止に向けた能動的な対応が求められる,organization,positive,strategy
A38_4,38,権利者の意向に配慮した取り組みが期待される,organization,positive,vision
A39_0,39,日本SF作家クラブは、生成AI技術に関する声明を発表し、クリエイターの意見を反映させるために多くの議論を行った。,organization,positive,current_status
A39_1,39,声明では、現状の生成AI技術が学習元の影響を辿れないという問題を指摘し、技術的限界に基づく意見提言を行っている。,organization,negative,issues
A39_2,39,文化庁には、生成AIの技術的制約について注意喚起を行うことが望ましいと考えている。,organization,positive,strategy
A39_3,39,現状の技術解説において、生成AIの内部処理がブラックボックス化していることを明示する必要がある。,organization,neutral,current_status
A39_4,39,生成物が学習データにどのように依拠しているかが不明なため、出力物の問題点を正確に記載することが重要である。,organization,negative,issues
A40_0,40,生成AIが作成したものが作風や画風のアイデアにとどまるのか、創作的表現部分が複製されているのかは使用者には判別不能であり、これが問題である。,organization,negative,issues
A40_1,40,生成AIを使用することで、意図せず他者の知的財産を使用してしまうリスクがある。,organization,negative,issues
A40_2,40,アイデアレベルに留まり、表現上の本質的な特徴が類似しない場合は著作権で保護されないが、先行するアイデアを独自のものとして発表することはキャリアにリスクを伴う。,organization,negative,issues
A40_3,40,人間の創作では、アイデアの貢献について説明できるが、生成AIには説明責任や法的責任を果たす仲介者が存在しない。,organization,negative,issues
A40_4,40,現状の生成AIの技術的限界を指摘し、利用者や運用者にリスクを低減する対策を促すことが望ましい。,organization,neutral,strategy
A42_0,42,AI学習において権利者の利益を不当に害する場合があるため、透明性の確保と救済制度の確立を検討すべきである。,organization,negative,issues
A42_1,42,AI学習に海賊版等の権利侵害複製物を用いることは著作権法第30条の4但書に該当することを明記すべきである。,organization,neutral,issues
A42_2,42,AI学習を拒絶する権利者の意思表示が明確な場合や技術的措置が講じられている著作物を学習データとして用いることも著作権法第30条の4但書に該当することを明記すべきである。,organization,neutral,issues
A42_3,42,ディープフェイクコンテンツから権利者を保護することは喫緊の課題であり、早急に論点整理と救済制度の確立を検討すべきである。,organization,negative,issues
A47_0,47,AIに関する権利制限規定はEUのAI法など倫理規定に準じるべき,organization,neutral,strategy
A47_1,47,特段の理由がない場合のオンライン審議や不明な委員の意見反映は公平性に欠けるため控えるべき,organization,negative,issues
A49_0,49,海賊版の機械学習が認められることは権利侵害の可能性に直結する,organization,negative,issues
A49_1,49,著作権法改正において権利者の立証責任や訴訟費用の負担が依然として大きい,organization,negative,current_status
A49_2,49,権利者が侵害者の情報を把握することが困難である現状を是正する方策が必要,organization,negative,issues
A49_3,49,ストリーミング型の著作権侵害への対応や懲罰的な損害賠償の導入が課題,organization,negative,issues
A49_4,49,AI開発事業者やサービス提供者への注意喚起が必要であり、海賊版の機械学習を防止する法改正が望まれる,organization,negative,strategy
A52_0,52,生成AIが海賊版サイトから報道コンテンツを収集することは、報道各社に対する権利侵害に加担することになる。開発事業者やサービス提供事業者は責任を持ち、早急に対応を改めるべきである。,organization,negative,issues
A52_1,52,著作権侵害の有無について、生成AIが既存著作物に依拠している場合、権利者がアクセス可能性や類似性を立証すれば依拠性が推認されるという考え方は妥当である。AI利用者が著作物を認識していなくても、著作物へのアクセスがあった場合は著作権侵害の可能性がある。,organization,neutral,issues
A52_2,52,コンテンツ創作の好循環を実現するためには、著作権法の枠を超えた議論が必要であり、政府は対価還元を促進する環境整備に努めるべきである。,organization,positive,strategy
A52_3,52,報道コンテンツは貴重な知的財産であり、利用者は報道各社から許諾を得て対価を支払うべきである。生成AIの開発事業者が知的財産にタダ乗りすることは許容できない。素案は権利者側に配慮した内容であり、一歩前進したが、法改正には触れておらず、解釈だけでは不十分である。,organization,negative,issues
A53_0,53,権利保護の機能を見極めつつ法改正を急ぐべき,organization,positive,strategy
A53_1,53,生成AIの開発が遅れる懸念は説得力がない。権利者から許諾を得て適切な対価を支払うべきであり、権利者に犠牲を強いる制度は適切ではない。,organization,negative,issues
A55_0,55,著作物の複製に関する表現が不明確であり、特にAI学習における著作物の利用について明確化が必要である。,organization,neutral,issues
A55_1,55,RAG等による回答生成に際して既存の著作物の利用についても、利用の意味を明確にする必要がある。,organization,negative,issues
A55_2,55,「作風」という用語の多義性を考慮し、表現に至らないアイデアのレベルでの共通性について明記すべきである。,organization,negative,issues
A55_3,55,法第47条の5の適用についての記載が不足しており、機械学習やAIアプリケーションの開発における著作物の利用に関する考慮要素を具体的に示すべきである。,organization,negative,issues
A55_4,55,AI生成物が特定のクリエイターや著作物に対する需要を代替する場合の権利侵害の認識について、クリエイターへの萎縮効果を考慮し、意見の記載に注意が必要である。,organization,negative,issues
A56_0,56,AI学習のための著作物の複製を防ぐ技術的措置が講じられている場合、将来的に情報解析に活用できるデータベースが販売される可能性が推認されるが、その推認が本当に成立するか疑問である。技術的措置があるからといって、必ずしも販売意図があるとは限らないため、その他の考慮要素を具体的に示すべきである。,organization,neutral,issues
A56_1,56,P23の脚注24に関して、特定の権利者が技術的措置を講じた場合、全てのデータについて法第30条の4に基づく利用ができなくなる可能性があるため、AI開発者の学習を過度に制限することになる。従って、クローラによるデータ収集に関する記載は、趣旨を明確にするために改めるべきである。,organization,negative,issues
A58_0,58,生成物が生成され、それが利用された場合には、推認される理論的な根拠や正当化根拠について慎重な検証が必要であり、委員会における検討が不十分な場合には継続的な検討を行うべきである。,organization,neutral,strategy
A58_1,58,技術的な措置が講じられている場合、生成AIの学習から生成・利用に至るプロセスを総合的に評価し、創作的表現が利用されていないと法的に評価できる場合には、AI利用者がその評価を基礎づける事情を主張・立証することが求められる。,organization,neutral,strategy
A58_2,58,権利者側の利益保護の観点から、事業者による依拠性の反証を認めることは適当ではなく、独立創作の抗弁が事実上不可能であることとのバランスを考慮すべきである。,organization,negative,issues
A58_3,58,責任主体の認定において、考慮要素が具体的に示されているが、技術的手段に限定されないことを明記し、責任主体の認定には利用者や事業者の関与度合いを考慮すべきである。,organization,neutral,issues
A59_0,59,本素案はAIと著作権に関する立法論ではなく、現行著作権法の解釈についての考え方を示しているが、文化庁の文書の影響力は大きい。小委員会の議論は限られた資料と委員によるもので、激しい対立が存在する。ヒアリング対象が日本Microsoft社のみであり、OSSコミュニティへのヒアリングが行われていないため、本素案の内容は謙抑的であるべきである。権利者側に偏った解釈が示されると、著作権法の拡大解釈が進み、AI開発に悪影響を及ぼす可能性がある。日本は生成AIの開発を促進する方向に舵を切っており、著作権法がその障害となるべきではない。,organization,negative,current_status
A61_0,61,AI開発者、サービス提供者、利用者にとって拠法決定の問題は重要であり、日本著作権法の解釈が曖昧であれば予見可能性が損なわれるため、具体的な記載が必要である。,organization,neutral,issues
A61_1,61,著作物の利用行為が行われる場所とプログラムの所在場所は無関係であり、国外サーバーでのプログラムが国内で著作物を複製する可能性があるため、修正が必要である。,organization,neutral,issues
A61_2,61,生成と利用の段階を明確に分けて検討する必要があり、特に利用時には権利制限規定を超える行為が著作権侵害となる可能性があるため、利用に関する準拠法についての記載を追加すべきである。,organization,neutral,strategy
A63_0,63,我が国の著作権法が適用される可能性について、生成AIの学習・開発段階や生成物の生成・利用段階におけるサーバーの所在地が重要な要素である。,organization,neutral,current_status
A63_1,63,著作物の利用行為に関する準拠法決定は裁判所によって判断されるが、国内サーバーでのデータ収集や生成物の生成・利用が著作権法の適用を高める要因となる。,organization,neutral,current_status
A63_2,63,学習対象著作物が提供されているサイトの運営者やサーバーの所在地は、著作物の利用行為地とは言えず、準拠法選択には考慮されない。,organization,neutral,issues
A63_3,63,生成AIの開発は深層学習を用いてデータからパターンやルールを学習し、指示に対して的確な出力を生成するプロセスである。,organization,neutral,current_status
A64_0,64,生成AIは、パラメーターを調整して情報解析を行い、指示に対して的確な出力を生成する技術である。,organization,neutral,current_status
A64_1,64,生成AIに関する新たな技術として、未使用のデータを検索・収集し、指示と関連付けて出力を予測する技術が登場している。,organization,neutral,current_status
A64_2,64,生成AI技術の進展に伴い、一般市民の間でも普及が進んでおり、著作権に関する法第30条の4の適用範囲について再整理が必要である。,organization,neutral,issues
A65_0,65,生成AI特有の事情について議論する必要があるが、本素案には著作物の新たな利用態様が不測の悪影響を受けないよう留意しているとは思えない記載がある。特に、著作権法30条の4の解釈に関する記載が、報道機関のデータベース著作物との市場衝突を問題視しており、著作権侵害の主張を広げる可能性がある。これにより、生成AIの学習目的に限らない著作物の利用にも萎縮効果が生じる恐れがあるため、慎重な記載が求められる。,organization,negative,issues
A65_1,65,著作権法第30条の4における「享受」の対象は当該著作物に限られ、AI学習を行う者が生成AIによる生成物を楽しむ目的があっても、法第30条の4の適用が否定されることはないと考えられる。,organization,neutral,current_status
A72_0,72,AIの追加的な学習において、クリエイターの作風の模倣にとどまらず、創作的表現が共通する作品群を作成することが目的となる場合がある。この場合、作品群の複製等において享受目的が併存し得ることや、生成物に当該作品群の創作的表現が直接感得できる可能性があるため、著作権侵害のリスクに配慮すべきである。,organization,negative,issues
A72_1,72,情報解析に活用できる形で整理したデータベースの著作物には、DVD等の記録媒体だけでなく、インターネット上でのファイルダウンロードやAPI提供も含まれる。データベースの著作権は全体ではなく一部分の利用でも創作的表現が認められる場合、著作権が及ぶ。特に、ウェブサイトで提供される記事からデータベースの創作的表現を複製する行為は、権利制限の対象外となる可能性がある。,organization,neutral,current_status
A73_0,73,権利者による過剰な権利行使がAI開発者やサービス提供者に萎縮的効果を及ぼすため、該当記載は削除または大幅に変更すべきである。,organization,negative,issues
A73_1,73,情報解析用DBの著作物に関する記載は、実際には要件を満たすことがほぼあり得ないため、具体的な修正案が必要である。,organization,negative,issues
A73_2,73,情報解析用DBの著作物は、単なるDBではなく、AIモデル生成のための情報解析用である必要がある。,organization,neutral,strategy
A73_3,73,APIによる有償提供が情報解析用DBの著作物でない場合、被侵害著作物は存在せず、要件を満たさない。,organization,negative,issues
A78_0,78,本素案は著作権法の解釈を逸脱しており、権利者が技術的措置を講じることでAI学習者が反証責任を負うことになるため、実質的に不可能である。特に、robots.txtの記述があればデータ収集行為が著作権侵害とされる解釈は不適切であり、著作権者の意思に反した場合に法的効果を付与することは許されない。,organization,negative,issues
A80_0,80,著作権法上の権利制限規定は、著作権者の許諾なく著作物を利用できることを目的としている。特に法第30条の4は、著作物の表現の価値を享受しない行為については、著作権者の利益を通常害しないため、権利制限の対象とすることが正当化される。,organization,positive,strategy
A80_1,80,著作権者が反対の意思を示している場合でも、それだけで権利制限規定の対象から除外されるとは解釈できない。AI学習のための著作物の複製を防ぐ技術的措置は、著作権法上特段の制限がなく、自由に行うことが可能である。,organization,neutral,current_status
A80_2,80,海賊版等の権利侵害複製物をAI学習のために複製することが著作権法30条の4ただし書の『著作権者の利益を不当に害することとなる場合』に該当するかについての結論が本素案に明記されていないため、整理・修正が必要である。,organization,negative,issues
A81_0,81,海賊版等の権利侵害複製物をAI学習のために複製することが著作権法30条の4のただし書に該当しないと結論づけるべきである。,organization,positive,strategy
A81_1,81,AI開発事業者が海賊版等の権利侵害複製物を知りながら学習データを収集した場合の責任については、著作権者の利益を不当に害するかどうかの判断において、利用者の主観的認識は考慮されないべきである。,organization,neutral,issues
